Epoch	Loss_train	MAE_train_Kcat	RMSE_train_Kcat	R2_train_Kcat	PCC_train_Kcat	MAE_train_Km	RMSE_train_Km	R2_train_Km	PCC_train_Km	Loss_val	MAE_val_Kcat	RMSE_val_Kcat	R2_val_Kcat	PCC_val_Kcat	MAE_val_Km	RMSE_val_Km	R2_val_Km	PCC_val_Km	MAE_test_Kcat	RMSE_test_Kcat	R2_test_Kcat	PCC_test_Kcat	MAE_test_Km	RMSE_test_Km	R2_test_Km	PCC_test_Km
1.0000	3.2244	1.0674	1.3823	0.1312	0.3701	0.9012	1.1460	0.1972	0.4535	2.8590	0.9716	1.2605	0.2424	0.5425	0.8910	1.1274	0.2434	0.5357	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
2.0000	2.6895	0.9522	1.2467	0.2933	0.5421	0.8351	1.0657	0.3056	0.5539	2.4775	0.9099	1.1790	0.3372	0.6010	0.8198	1.0428	0.3527	0.6006	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
3.0000	2.3204	0.8650	1.1400	0.4091	0.6398	0.7894	1.0104	0.3758	0.6134	2.1103	0.8353	1.0617	0.4626	0.6901	0.7747	0.9912	0.4152	0.6457	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
4.0000	2.0424	0.8002	1.0612	0.4880	0.6986	0.7453	0.9572	0.4399	0.6635	1.9958	0.7987	1.0402	0.4841	0.6964	0.7448	0.9544	0.4578	0.6778	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
5.0000	1.8591	0.7628	1.0081	0.5379	0.7335	0.7129	0.9179	0.4849	0.6965	1.7819	0.7376	0.9643	0.5566	0.7463	0.7155	0.9224	0.4936	0.7088	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
6.0000	1.7158	0.7285	0.9674	0.5745	0.7580	0.6844	0.8834	0.5229	0.7232	2.2267	0.7207	0.9487	0.5708	0.7566	0.9179	1.1516	0.2106	0.6768	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
7.0000	1.6107	0.7041	0.9383	0.5997	0.7744	0.6620	0.8544	0.5537	0.7442	1.7013	0.7396	0.9580	0.5624	0.7608	0.6873	0.8867	0.5320	0.7350	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
8.0000	1.5399	0.6874	0.9200	0.6152	0.7843	0.6408	0.8330	0.5758	0.7589	1.6700	0.7309	0.9509	0.5689	0.7631	0.6730	0.8754	0.5439	0.7400	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
9.0000	1.4836	0.6747	0.9055	0.6272	0.7920	0.6273	0.8150	0.5939	0.7707	1.5928	0.6935	0.9150	0.6008	0.7761	0.6559	0.8697	0.5498	0.7481	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
10.0000	1.4325	0.6637	0.8889	0.6407	0.8005	0.6152	0.8013	0.6074	0.7794	1.5821	0.6812	0.9061	0.6085	0.7816	0.6711	0.8722	0.5472	0.7425	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
11.0000	1.3734	0.6520	0.8753	0.6516	0.8072	0.5948	0.7795	0.6286	0.7928	1.5530	0.6979	0.9139	0.6018	0.7790	0.6467	0.8485	0.5715	0.7576	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
12.0000	1.3362	0.6389	0.8615	0.6625	0.8140	0.5901	0.7704	0.6371	0.7982	1.5410	0.6701	0.9035	0.6108	0.7890	0.6460	0.8531	0.5668	0.7537	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
13.0000	1.3016	0.6283	0.8509	0.6708	0.8190	0.5787	0.7598	0.6471	0.8044	1.5151	0.6657	0.8980	0.6155	0.7853	0.6405	0.8421	0.5779	0.7641	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
14.0000	1.2582	0.6176	0.8402	0.6790	0.8241	0.5669	0.7434	0.6621	0.8137	1.4851	0.6551	0.8810	0.6300	0.7950	0.6390	0.8435	0.5765	0.7597	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
15.0000	1.2200	0.6114	0.8288	0.6877	0.8293	0.5551	0.7300	0.6743	0.8211	1.5308	0.6674	0.8941	0.6188	0.7968	0.6516	0.8563	0.5635	0.7586	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
