Epoch	Loss_train	MAE_train	RMSE_train	R2_train	PCC_train	Loss_val	MAE_val	RMSE_val	R2_val	PCC_val	MAE_test	RMSE_test	R2_test	PCC_test
1.0000	2.0620	1.1184	1.4364	0.0921	0.3225	1.6587	0.9951	1.2877	0.2403	0.4993	0.6072	0.8849	0.6693	0.8190
2.0000	1.7117	1.0082	1.3074	0.2479	0.4987	1.3950	0.9066	1.1808	0.3612	0.6027	0.6072	0.8849	0.6693	0.8190
3.0000	1.4912	0.9394	1.2215	0.3435	0.5863	1.3409	0.8898	1.1576	0.3860	0.6308	0.6072	0.8849	0.6693	0.8190
4.0000	1.3013	0.8756	1.1412	0.4269	0.6535	1.4609	0.9738	1.2091	0.3302	0.6256	0.6072	0.8849	0.6693	0.8190
5.0000	1.1700	0.8239	1.0807	0.4861	0.6973	1.2139	0.8533	1.1016	0.4440	0.7014	0.6072	0.8849	0.6693	0.8190
6.0000	1.0932	0.7937	1.0457	0.5189	0.7204	1.0882	0.8071	1.0434	0.5013	0.7183	0.6072	0.8849	0.6693	0.8190
7.0000	1.0325	0.7706	1.0164	0.5454	0.7386	0.9769	0.7464	0.9881	0.5527	0.7439	0.6072	0.8849	0.6693	0.8190
8.0000	0.9708	0.7445	0.9856	0.5726	0.7567	0.9870	0.7529	0.9935	0.5478	0.7419	0.6072	0.8849	0.6693	0.8190
9.0000	0.9324	0.7309	0.9641	0.5910	0.7688	0.9322	0.7272	0.9652	0.5732	0.7606	0.6072	0.8849	0.6693	0.8190
10.0000	0.9151	0.7210	0.9566	0.5974	0.7729	0.9235	0.7222	0.9608	0.5770	0.7615	0.6072	0.8849	0.6693	0.8190
11.0000	0.8894	0.7116	0.9432	0.6086	0.7801	0.9915	0.7642	0.9958	0.5457	0.7460	0.6072	0.8849	0.6693	0.8190
12.0000	0.8765	0.6997	0.9353	0.6151	0.7843	0.9273	0.7163	0.9624	0.5756	0.7656	0.6072	0.8849	0.6693	0.8190
13.0000	0.8558	0.6928	0.9248	0.6237	0.7898	0.8638	0.7007	0.9291	0.6045	0.7781	0.6072	0.8849	0.6693	0.8190
14.0000	0.8449	0.6895	0.9189	0.6284	0.7928	0.8839	0.6986	0.9403	0.5950	0.7752	0.6072	0.8849	0.6693	0.8190
15.0000	0.8211	0.6759	0.9063	0.6386	0.7991	0.8691	0.6932	0.9321	0.6020	0.7780	0.6072	0.8849	0.6693	0.8190
16.0000	0.8118	0.6738	0.9008	0.6430	0.8019	0.9027	0.7078	0.9500	0.5865	0.7730	0.6072	0.8849	0.6693	0.8190
17.0000	0.7888	0.6624	0.8876	0.6534	0.8083	0.8847	0.7091	0.9405	0.5948	0.7765	0.6072	0.8849	0.6693	0.8190
18.0000	0.7942	0.6651	0.8907	0.6510	0.8068	0.8671	0.6902	0.9310	0.6029	0.7856	0.6072	0.8849	0.6693	0.8190
19.0000	0.7794	0.6597	0.8829	0.6570	0.8106	0.8596	0.6845	0.9270	0.6063	0.7798	0.6072	0.8849	0.6693	0.8190
20.0000	0.7686	0.6542	0.8768	0.6617	0.8135	0.8783	0.6982	0.9370	0.5978	0.7746	0.6072	0.8849	0.6693	0.8190
