Epoch	Loss_train	MAE_train	RMSE_train	R2_train	PCC_train	Loss_val	MAE_val	RMSE_val	R2_val	PCC_val	MAE_test	RMSE_test	R2_test	PCC_test
1.0000	1.3098	0.9004	1.1447	0.2029	0.4574	2.2176	1.1781	1.4896	-0.2666	0.4173	0.5587	0.7836	0.6166	0.7869
2.0000	1.1117	0.8276	1.0543	0.3239	0.5700	1.3809	0.9230	1.1750	0.2118	0.5571	0.5587	0.7836	0.6166	0.7869
3.0000	1.0110	0.7839	1.0056	0.3850	0.6206	0.9982	0.7665	0.9990	0.4303	0.6590	0.5587	0.7836	0.6166	0.7869
4.0000	0.9144	0.7466	0.9562	0.4438	0.6664	0.9468	0.7455	0.9729	0.4597	0.6787	0.5587	0.7836	0.6166	0.7869
5.0000	0.8365	0.7110	0.9147	0.4911	0.7009	0.9466	0.7485	0.9726	0.4600	0.6786	0.5587	0.7836	0.6166	0.7869
6.0000	0.7887	0.6881	0.8880	0.5203	0.7214	0.8895	0.7285	0.9429	0.4925	0.7045	0.5587	0.7836	0.6166	0.7869
7.0000	0.7337	0.6611	0.8567	0.5536	0.7441	0.9099	0.7401	0.9538	0.4807	0.7306	0.5587	0.7836	0.6166	0.7869
8.0000	0.7053	0.6488	0.8397	0.5711	0.7557	0.7979	0.6805	0.8932	0.5446	0.7398	0.5587	0.7836	0.6166	0.7869
9.0000	0.6628	0.6263	0.8141	0.5969	0.7726	0.7872	0.6824	0.8872	0.5507	0.7517	0.5587	0.7836	0.6166	0.7869
10.0000	0.6379	0.6147	0.7987	0.6120	0.7823	0.7734	0.6653	0.8795	0.5585	0.7520	0.5587	0.7836	0.6166	0.7869
11.0000	0.6193	0.6035	0.7870	0.6233	0.7895	0.7620	0.6647	0.8729	0.5651	0.7593	0.5587	0.7836	0.6166	0.7869
12.0000	0.5906	0.5896	0.7685	0.6408	0.8005	0.7302	0.6500	0.8545	0.5832	0.7667	0.5587	0.7836	0.6166	0.7869
13.0000	0.5741	0.5793	0.7576	0.6508	0.8068	0.7454	0.6511	0.8632	0.5747	0.7581	0.5587	0.7836	0.6166	0.7869
14.0000	0.5598	0.5708	0.7483	0.6594	0.8120	0.7306	0.6387	0.8548	0.5829	0.7662	0.5587	0.7836	0.6166	0.7869
15.0000	0.5461	0.5636	0.7389	0.6679	0.8172	0.7120	0.6338	0.8437	0.5936	0.7709	0.5587	0.7836	0.6166	0.7869
16.0000	0.5283	0.5541	0.7269	0.6786	0.8238	0.6998	0.6299	0.8366	0.6005	0.7780	0.5587	0.7836	0.6166	0.7869
17.0000	0.5106	0.5424	0.7146	0.6894	0.8303	0.7048	0.6295	0.8394	0.5978	0.7750	0.5587	0.7836	0.6166	0.7869
18.0000	0.5043	0.5387	0.7102	0.6932	0.8326	0.7148	0.6269	0.8455	0.5920	0.7711	0.5587	0.7836	0.6166	0.7869
19.0000	0.4997	0.5370	0.7068	0.6961	0.8344	0.7550	0.6535	0.8687	0.5693	0.7723	0.5587	0.7836	0.6166	0.7869
20.0000	0.4792	0.5240	0.6922	0.7086	0.8418	0.6932	0.6222	0.8324	0.6045	0.7781	0.5587	0.7836	0.6166	0.7869
21.0000	0.4748	0.5198	0.6890	0.7112	0.8434	0.6888	0.6176	0.8300	0.6068	0.7804	0.5587	0.7836	0.6166	0.7869
22.0000	0.4562	0.5115	0.6754	0.7225	0.8500	0.6915	0.6188	0.8315	0.6053	0.7853	0.5587	0.7836	0.6166	0.7869
23.0000	0.4471	0.5058	0.6687	0.7280	0.8532	0.6900	0.6156	0.8305	0.6062	0.7796	0.5587	0.7836	0.6166	0.7869
24.0000	0.4433	0.5010	0.6657	0.7305	0.8547	0.6728	0.6028	0.8202	0.6159	0.7865	0.5587	0.7836	0.6166	0.7869
25.0000	0.4370	0.4974	0.6611	0.7341	0.8568	0.6748	0.6103	0.8215	0.6147	0.7860	0.5587	0.7836	0.6166	0.7869
26.0000	0.4295	0.4934	0.6555	0.7386	0.8594	0.6945	0.6149	0.8333	0.6036	0.7817	0.5587	0.7836	0.6166	0.7869
27.0000	0.4213	0.4885	0.6489	0.7439	0.8625	0.6757	0.6072	0.8219	0.6144	0.7891	0.5587	0.7836	0.6166	0.7869
28.0000	0.4130	0.4842	0.6416	0.7496	0.8658	0.6636	0.6006	0.8143	0.6215	0.7891	0.5587	0.7836	0.6166	0.7869
29.0000	0.4092	0.4819	0.6397	0.7511	0.8667	0.6564	0.5969	0.8100	0.6255	0.7916	0.5587	0.7836	0.6166	0.7869
30.0000	0.4025	0.4762	0.6345	0.7551	0.8690	0.6680	0.5998	0.8170	0.6190	0.7888	0.5587	0.7836	0.6166	0.7869
31.0000	0.3964	0.4715	0.6296	0.7589	0.8712	0.6658	0.5996	0.8158	0.6201	0.7878	0.5587	0.7836	0.6166	0.7869
32.0000	0.3908	0.4681	0.6252	0.7622	0.8731	0.6721	0.5969	0.8196	0.6165	0.7913	0.5587	0.7836	0.6166	0.7869
33.0000	0.3940	0.4693	0.6276	0.7604	0.8720	0.6585	0.6001	0.8113	0.6242	0.7913	0.5587	0.7836	0.6166	0.7869
34.0000	0.3852	0.4670	0.6203	0.7660	0.8752	0.6691	0.5921	0.8179	0.6181	0.7890	0.5587	0.7836	0.6166	0.7869
35.0000	0.3795	0.4604	0.6160	0.7692	0.8770	0.6682	0.5951	0.8173	0.6187	0.7878	0.5587	0.7836	0.6166	0.7869
36.0000	0.3802	0.4614	0.6166	0.7688	0.8768	0.6670	0.5919	0.8165	0.6195	0.7942	0.5587	0.7836	0.6166	0.7869
37.0000	0.3730	0.4567	0.6108	0.7731	0.8793	0.6635	0.5999	0.8144	0.6214	0.7910	0.5587	0.7836	0.6166	0.7869
38.0000	0.3685	0.4537	0.6071	0.7758	0.8808	0.6651	0.5941	0.8154	0.6205	0.7921	0.5587	0.7836	0.6166	0.7869
39.0000	0.3673	0.4514	0.6060	0.7766	0.8812	0.6770	0.6108	0.8226	0.6137	0.7890	0.5587	0.7836	0.6166	0.7869
40.0000	0.3626	0.4461	0.6022	0.7794	0.8829	0.6604	0.5944	0.8125	0.6231	0.7894	0.5587	0.7836	0.6166	0.7869
41.0000	0.3595	0.4488	0.5994	0.7815	0.8840	0.6465	0.5862	0.8040	0.6310	0.7945	0.5587	0.7836	0.6166	0.7869
42.0000	0.3545	0.4439	0.5954	0.7844	0.8857	0.6550	0.5912	0.8091	0.6263	0.7932	0.5587	0.7836	0.6166	0.7869
43.0000	0.3556	0.4434	0.5964	0.7836	0.8852	0.6687	0.5937	0.8175	0.6185	0.7923	0.5587	0.7836	0.6166	0.7869
